NC_001422.1 Enterobacteria phage phiX174 sensu lato, complete genome
NC_022088.2 Bacillus phage Troll, complete genome
NC_022085.1 Myobacteriophage Goku, complete genome
NC_022103.1 Bat coronavirus CDPHE15/USA/2006, complete genome
NC_022232.1 Sweet potato leaf curl Shanghai virus isolate China:Jilin1:2012, complete genome
NC_022233.1 Porcine cytomegalovirus strain BJ09, complete genome
NC_022266.1 Simian adenovirus 18, complete genome
NC_022340.1 Propionibacterium phage PHL114L00, complete genome
NC_022325.1 Mycobacterium phage Dylan, complete genome
NC_022323.1 Escherichia phage 2 JES-2013, complete genome
NC_022518.1 Human endogenous retrovirus K113 complete genome
NC_022563.1 Squirrel poxvirus strain Red squirrel UK complete genome
NC_022595.1 Murrumbidgee virus isolate 934 segment L, complete sequence
NC_022596.1 Murrumbidgee virus isolate 934 segment M, complete sequence
NC_022597.1 Murrumbidgee virus isolate 934 segment S, complete sequence
NC_022613.1 Turkey adenovirus 5 isolate 1277BT, complete genome
NC_022630.1 Razdan virus strain LEIV-Arm2741 segment L, complete sequence
NC_022631.1 Razdan virus strain LEIV-Arm2741 segment M, complete sequence
NC_022632.1 Razdan virus strain LEIV-Arm2741 segment S, complete sequence
NC_022647.1 Mesocricetus auratus papillomavirus 1 complete genome, isolate APV10
NC_022752.1 Salmonella phage SETP13, complete genome
NC_022749.1 Shigella phage SfIV, complete genome
NC_022751.1 Cyanophage PP, complete genome
NC_022753.1 Mycobacterium phage Fredward, complete genome
NC_022774.1 Bacillus phage Slash, complete genome
NC_022763.1 Bacillus phage Spock, complete genome
NC_022767.1 Bacillus phage Staley, complete genome
NC_022775.1 Lactobacillus phage phiJB, complete genome
NC_022788.1 Gyrovirus Tu243, complete genome
NC_022802.1 Feline sakobuvirus A isolate FFUP1, complete genome
NC_022897.1 Penaeus monodon circovirus VN11, complete genome
NC_022915.1 Ralstonia phage RSK1 DNA, complete genome
NC_022919.1 Cardamom bushy dwarf virus satellite clone Fr-X7, complete sequence
NC_022962.1 Olive viral satellite RNA isolate Caltabellotta1 from Italy, complete genome
NC_022989.1 Lactobacillus phage LL-Ku, complete genome
NC_022975.1 Mycobacterium phage HanShotFirst, complete genome
NC_022985.1 Mycobacterium phage Zaka, complete genome
NC_022982.1 Xylella phage Paz, complete genome
NC_022976.1 Mycobacterium phage Nala, complete genome
NC_022986.1 Pseudomonas phage PAK_P4, complete genome
NC_022979.1 Mycobacterium phage Graduation, complete genome
NC_022980.1 Brevibacillus phage Davies, complete genome
NC_023008.1 Butcherbird polyomavirus isolate AWH19840, complete genome
NC_023009.1 Staphylococcus phage Sb-1, complete genome
NC_023020.1 Porcine parvovirus 5 isolate IA469 clone 1, complete genome
NC_023034.1 Tomato leaf curl Gandhinagar virus isolate pToGNAX15 segment DNA-A, complete sequence
NC_023158.1 Pea necrotic yellow dwarf virus segment DNA-C, complete sequence
NC_023156.1 Pea necrotic yellow dwarf virus segment DNA-M, complete sequence
NC_023159.1 Pea necrotic yellow dwarf virus segment DNA-N, complete sequence
NC_023154.1 Pea necrotic yellow dwarf virus isolate Drohndorf-15 segment DNA-R, complete sequence
NC_023155.1 Pea necrotic yellow dwarf virus segment DNA-S, complete sequence
NC_023160.1 Pea necrotic yellow dwarf virus segment DNA-U1, complete sequence
NC_023157.1 Pea necrotic yellow dwarf virus segment DNA-U2, complete sequence
NC_023161.1 Pea necrotic yellow dwarf virus segment DNA-U4, complete sequence
NC_023178.1 Castor canadensis papillomavirus type 1 isolate CcanPV1, complete genome
NC_023305.1 Black medic leafroll virus isolate Bjuv_153 segment DNA-M, complete sequence
NC_023300.1 Black medic leafroll virus isolate Bjuv_153 segment DNA-C, complete sequence
NC_023301.1 Black medic leafroll virus isolate Bjuv_153 segment DNA-N, complete sequence
NC_023299.1 Black medic leafroll virus isolate Bjuv_153 segment DNA-R, complete sequence
NC_023304.1 Black medic leafroll virus isolate Bjuv_153 segment DNA-S, complete sequence
NC_023306.1 Black medic leafroll virus isolate Bjuv_153 segment DNA-U1, complete sequence
NC_023307.1 Black medic leafroll virus isolate Bjuv_153 segment DNA-U2, complete sequence
NC_023302.1 Black medic leafroll virus isolate Bjuv_153 segment DNA-U4, complete sequence
NC_023424.1 Tyuleniy virus strain LEIV-6C polyprotein gene, complete cds
NC_023434.1 Dragonfly larvae associated circular virus-8 isolate DflaCV-8_NZ-PG5-LS, complete genome
NC_023429.1 Dragonfly larvae associated circular virus-3 isolate DflaCV-3_NZ-PG1-LG, complete genome
NC_023436.1 Dragonfly larvae associated circular virus-10 isolate DflaCV-10_NZ-XZ1-LH, complete genome
NC_023442.1 Buzura suppressaria nucleopolyhedrovirus isolate Hubei, complete genome
NC_023484.1 Sida yellow vein China alphasatellite clone J25.16, complete genome
NC_003640.1 Milk vetch dwarf C3 alphasatellite gene for virus replication-associated protein, complete cds
NC_023498.1 Mycobacterium phage Validus, complete genome
NC_023499.1 Staphylococcus phage StauST398-4, complete genome
NC_023583.1 Pseudomonas phage TL complete genome
NC_023568.1 Vibrio phage VH7D, complete genome
NC_023592.1 Haloarcula hispanica pleomorphic virus 2, complete genome
NC_023613.1 Invertebrate iridovirus 25 complete genome
NC_023610.1 Erwinia phage PhiEaH1, complete genome
NC_023627.1 Laodelphax striatella honeydew virus 1 isolate Nanjing, complete genome
NC_023612.1 Geobacillus phage GBK2, complete genome
NC_023609.1 Mycobacterium phage RhynO, complete genome
NC_023557.1 Erwinia phage Ea35-70, complete genome
NC_023606.1 Mycobacterium phage CRB1, complete genome
NC_023555.1 Edwardsiella phage eiAU-183, complete genome
NC_023553.1 Mycobacterium phage Echild, complete genome
NC_023550.1 Staphylococcus phage GRCS, complete genome
NC_023549.1 Clavibacter phage CN1A, complete genome
NC_023564.1 Mycobacterium phage EagleEye, complete genome
NC_023556.1 Achromobacter phage JWAlpha, complete genome
NC_023563.1 Mycobacterium phage Suffolk, complete genome
NC_023635.1 Arumowot virus segment L, complete sequence
NC_023633.1 Arumowot virus segment M, complete sequence
NC_023634.1 Arumowot virus segment S, complete sequence
NC_023630.1 Bovine astrovirus B76-2/HK, complete genome
NC_023674.1 Porcine astrovirus 2 strain 43/USA, complete genome
NC_023678.1 Phaseolus vulgaris endornavirus 1 gene for polyprotein, complete cds
NC_023693.1 Enterobacteria phage phi92, complete genome
NC_023743.1 Escherichia phage phiEB49, complete genome
NC_022893.1 Cherry leaf scorch small circular viroid-like RNA 1 isolate es.10, complete sequence
NC_022894.1 Donkey orchid symptomless virus isolate Mariginiup11, complete genome
NC_022916.1 Burkholderia phage JG068, complete genome
NC_022961.1 Garlic virus D isolate GarVD-SW10, complete genome
NC_022990.1 Zamilon virophage complete genome
NC_022984.1 Mycobacterium phage Jovo, complete genome
NC_022965.1 Mycobacterium phage CloudWang3, complete genome
NC_022968.1 Enterobacteria phage 4MG, complete genome
NC_022977.1 Mycobacterium phage Artemis2UCLA, complete genome
NC_022966.1 Pseudomonas phage PAK_P5, complete genome
NC_021342.2 Edwardsiella phage PEi21, complete genome
NC_023006.1 Pseudomonas phage PPpW-3 DNA, complete sequence
NC_023014.1 Bidens mosaic virus isolate SP01, complete genome
NC_023021.1 Formica exsecta virus 1 isolate Fex1, complete genome
NC_023038.1 Tomato leaf curl Gandhinagar betasatellite isolate pToGNbH14, complete sequence
NC_023175.1 Zucchini tigre mosaic virus isolate Re01-25, complete genome
NC_023292.1 Papaya leaf curl alphasatellite clone PaLCuA[PK/Mul/07], complete sequence
NC_023312.1 Tomato leaf curl Liwa virus isolate LW1, complete genome
NC_023422.1 Caprine kobuvirus isolate 12Q108, complete genome
NC_023435.1 Dragonfly larvae associated circular virus-9 isolate DflaCV-9_NZ-PG10-LD, complete genome
NC_023432.1 Dragonfly larvae associated circular virus-6 isolate DflaCV-6_NZ-PG9-LD, complete genome
NC_023430.1 Dragonfly larvae associated circular virus-4 isolate DflaCV-4_NZ-PG3-LG, complete genome
NC_023439.1 Kama virus strain LEIV-20776Tat polyprotein gene, complete cds
NC_023443.1 Ageratum yellow vein China alphasatellite isolate Sn3 segment DNA-1, complete sequence
NC_023491.1 Inachis io cypovirus 2 segment 1, complete sequence
NC_023495.1 Inachis io cypovirus 2 segment 10, complete sequence
NC_023486.1 Inachis io cypovirus 2 segment 2, complete sequence
NC_023492.1 Inachis io cypovirus 2 segment 3, complete sequence
NC_023487.1 Inachis io cypovirus 2 segment 4, complete sequence
NC_023488.1 Inachis io cypovirus 2 segment 5, complete sequence
NC_023493.1 Inachis io cypovirus 2 segment 6, complete sequence
NC_023489.1 Inachis io cypovirus 2 segment 7, complete sequence
NC_023494.1 Inachis io cypovirus 2 segment 8, complete sequence
NC_023490.1 Inachis io cypovirus 2 segment 9, complete sequence
NC_003638.1 Milk vetch dwarf C1 alphasatellite gene for viral replication-associated protein, complete cds
NC_023501.1 Bacillus phage BPS10C, complete genome
NC_023558.1 Cronobacter phage Dev2 complete genome
NC_023586.1 Ralstonia phage 1 NP-2014, complete sequence
NC_023576.1 Citrobacter phage CR44b complete genome
NC_023575.1 Pseudomonas phage vB_PaeP_Tr60_Ab31
NC_023611.1 Invertebrate iridescent virus 30 complete genome
NC_023598.1 Sclerotinia sclerotiorum mitovirus 6 isolate IL1 Pol gene, complete cds
NC_023603.1 Mycobacterium phage 39HC, complete genome
NC_023605.1 Vibrio phage PVA1, complete genome
NC_023602.1 Mycobacterium phage 32HC, complete genome
NC_023614.1 Croceibacter phage P2559Y, complete genome
NC_023562.1 Mycobacterium phage BellusTerra, complete genome
NC_023590.1 Acinetobacter phage IME_AB3, complete genome
NC_023580.1 Mycobacterium phage Saal, complete genome
NC_023582.1 Staphylococcus phage vB_SepS_SEP9, complete genome
NC_023589.1 Shigella phage pSb-1, complete genome
NC_023569.1 Vibrio phage SHOU24, complete genome
NC_022974.1 Pseudomonas phage CHA_P1, complete genome
NC_023007.1 Bacillus phage vB_BanS-Tsamsa, complete genome
NC_023015.1 Hedyotis uncinella yellow mosaic betasatellite isolate VN1, complete genome
NC_023023.1 Spinach yellow vein Sikar virus clone AS22, complete genome
NC_023041.1 Magnaporthe oryzae chrysovirus 3 RdRp gene for RNA dependent RNA polymerase, complete cds
NC_023042.1 Magnaporthe oryzae chrysovirus 3 gene for hypothetical protein, complete cds
NC_023043.1 Magnaporthe oryzae chrysovirus 3 gene for hypothetical protein, complete cds
NC_023039.1 Magnaporthe oryzae chrysovirus 3 gene for hypothetical protein, complete cds
NC_023040.1 Magnaporthe oryzae chrysovirus 3 gene for hypothetical protein, complete cds
NC_023162.1 Carp picornavirus 1 isolate F37/06, complete genome
NC_023177.1 Choristoneura murinana alphabaculovirus strain Darmstadt, complete genome
NC_023309.1 Pea yellow stunt virus segment DNA-C, complete sequence
NC_023297.1 Pea yellow stunt virus segment DNA-M, complete sequence
NC_023310.1 Pea yellow stunt virus segment DNA-N, complete sequence
NC_023296.1 Pea yellow stunt virus segment DNA-R, complete sequence
NC_023308.1 Pea yellow stunt virus segment DNA-S, complete sequence
NC_023303.1 Pea yellow stunt virus segment DNA-U1, complete sequence
NC_023298.1 Pea yellow stunt virus segment DNA-U2, complete sequence
NC_023311.1 Pea yellow stunt virus segment DNA-U4, complete sequence
NC_023421.1 Anguilla anguilla circovirus isolate Ba1, complete genome
NC_023425.1 Avian hepatitis E virus, complete genome
NC_023433.1 Dragonfly larvae associated circular virus-7 isolate DflaCV-7_NZ-PG5-LH, complete genome
NC_023428.1 Dragonfly larvae associated circular virus-2 isolate DflaCV-2_NZ-PG8-LS, complete genome
NC_023437.1 Fathead minnow picornavirus strain 09-283, complete genome
NC_023440.1 Wallerfield virus strain TR7904, complete genome
NC_023485.1 Hibiscus bacilliform virus GD1, complete genome
NC_003639.1 Milk vetch dwarf C2 alphasatellite gene for viral replication-associated protein, complete cds
NC_023500.1 Staphylococcus phage StauST398-5, complete genome
NC_023547.1 Ustilaginoidea virens RNA virus 3, complete genome
NC_023559.1 Oenococcus phage phi9805, complete genome
NC_023571.1 Oenococcus phage phiS11, complete genome
NC_023560.1 Oenococcus phage phiS13, complete genome
NC_023615.1 Invertebrate iridescent virus 22 isolate IIV22Aberystwyth complete genome
NC_023601.1 Pseudomonas phage phiPsa374, complete genome
NC_023600.1 Mycobacterium phage Jolie1, complete genome
NC_023561.1 Enterobacter phage PG7, complete genome
NC_023597.1 Mycobacterium phage 20ES, complete genome
NC_023599.1 Bacillus phage phiCM3, complete genome
NC_023565.1 Mycobacterium phage Nyxis, complete genome
NC_023551.1 Enterococcus phage IME-EF4, complete genome
NC_023567.2 Klebsiella phage F19, complete genome
NC_023554.1 Mycobacterium phage JAMaL, complete genome
NC_023574.1 Lactococcus phage phiL47, complete genome
NC_023577.1 Mycobacterium phage Obama12, complete genome
NC_023570.1 Acinetobacter phage Petty, complete genome
NC_023631.1 Bovine astrovirus B18/HK, complete genome
NC_023636.1 Porcine astrovirus 5 isolate AstV5-US-IA122, complete genome
NC_023638.1 Posavirus 2, complete genome
NC_023675.1 Porcine astrovirus 4 strain 35/USA, complete genome
NC_023682.1 Anopheline-associated C virus isolate acc_1.1s segment 1 RNA-dependent RNA polymerase-like protein and hypothetical proteins genes, complete cds
NC_023734.1 Psychrobacter phage Psymv2, complete genome
NC_003647.1 Milk vetch dwarf C10 alphasatellite gene for replication initiation protein, complete cds
NC_023730.1 Mycobacterium phage Redi, complete genome
NC_004553.3 Turnip rosette virus isolate TRoV-1, complete genome
NC_023005.1 Pseudomonas phage PPpW-4 DNA, complete sequence
NC_023016.1 Lamium mild mosaic virus isolate DSMZ PV-0454 segment RNA1, complete sequence
NC_023017.1 Lamium mild mosaic virus isolate DSMZ PV-0454 segment RNA2, complete sequence
NC_023022.1 Formica exsecta virus 2 isolate Fex2, complete genome
NC_023153.1 Citrus endogenous pararetrovirus clone CB16-3, complete genome
NC_023176.1 Porcine pestivirus isolate Bungowannah, complete genome
NC_023295.1 Apricot vein clearing associated virus complete genome, isolate VC
NC_023339.1 Eggplant mottled crinkle virus, complete genome
NC_023423.1 Pithovirus sibericum isolate P1084-T, complete genome
NC_023426.1 Anomala cuprea entomopoxvirus DNA, complete genome, strain: CV6M
NC_023431.1 Dragonfly larvae associated circular virus-5 isolate DflaCV-5_NZ-PG2-LG, complete genome
NC_023427.1 Dragonfly larvae associated circular virus-1 isolate DflaCV-1_NZ-PG11-LD, complete genome
NC_023441.1 Chaetoceros sp. DNA virus 7 genes for putative replication-associated protein, hypothetical proteins, complete cds, isolate: Csp07DNAV
NC_023483.1 Antheraea pernyi iflavirus isolate LnApIV-02, complete genome
NC_023496.1 Saimiri sciureus papillomavirus type 1 isolate Mac2066, complete genome
NC_023503.1 Streptococcus phage 20617 complete prophage genome
NC_023502.1 Rhizobium phage vB_RleS_L338C, complete genome
NC_023573.1 Staphylococcus phage phiSA012 DNA, complete genome
NC_023548.1 Citrobacter phage CR8 complete genome
NC_023595.2 Enterococcus phage IME_EF3, complete genome
NC_023585.1 Sulfolobus monocaudavirus SMV1 complete genome
NC_023608.1 Salmonella phage vB_SenS-Ent2 complete genome
NC_023628.1 Narcissus late season yellows virus isolate Marijiniup8, complete genome
NC_023607.1 Mycobacterium phage 40AC, complete genome
NC_023604.1 Mycobacterium phage Jolie2, complete genome
NC_023566.1 Rhizobium phage vB_RglS_P106B, complete genome
NC_023552.1 Mycobacterium phage Donovan, complete genome
NC_023594.2 Shewanella phage Spp001, complete genome
NC_023578.1 Mycobacterium phage Oaker, complete genome
NC_023593.1 Escherichia phage KBNP1711, complete genome
NC_023572.1 Mycobacterium phage MichelleMyBell, complete genome
NC_023579.1 Erwinia phage Ea9-2, complete genome
NC_023584.1 Synechococcus phage S-MbCM100, complete genome
NC_023581.1 Acinetobacter phage Presley, complete genome
NC_023588.1 Stenotrophomonas phage Smp131, complete genome
NC_023629.1 Bovine astrovirus B76/HK, complete genome
NC_023637.1 Posavirus 1, complete genome
NC_023676.1 Spodoptera exigua iflavirus 2 isolate Korean, complete genome
NC_023673.1 Porcine bocavirus isolate swBoV CH437, complete genome
NC_023681.1 Mamestra brassicae MNPV strain K1, complete genome
NC_023700.1 Pseudomonas phage PA1/KOR/2010, complete genome
NC_023732.1 Mycobacterium phage Rumpelstiltskin, complete genome
NC_023737.1 Mycobacterium phage Pleione, complete genome
NC_023719.1 Bacillus phage G, complete genome
NC_023708.1 Mycobacterium phage Dreamboat, complete genome
NC_023718.1 Pseudomonas phage phi_Pto-bp6g, complete genome
NC_023696.1 Mycobacterium phage Dandelion, complete genome
NC_023731.1 Mycobacterium phage Trixie, complete genome
NC_023698.1 Mycobacterium phage Avani, complete genome
NC_023680.1 Fusarium graminearum hypovirus 1 isolate HN10, complete genome
NC_023748.1 Mycobacterium phage SkiPole, complete genome
NC_023744.1 Mycobacterium phage DS6A, complete genome
NC_023699.1 Mycobacterium phage SG4, complete genome
NC_023686.1 Mycobacterium phage Gadjet, complete genome
NC_023716.1 Mycobacterium phage Alma, complete genome
NC_023739.1 Mycobacterium phage BillKnuckles, complete genome
NC_023725.1 Mycobacterium phage Nappy, complete genome
NC_023812.1 Madariaga virus strain MADV/Cebus apella/BRA/BEAN5122/1956, complete genome
NC_023843.1 Nepavirus isolate NepaV, complete genome
NC_023850.1 Baminivirus isolate BamiV, complete genome
NC_023853.1 Dragonfly circularisvirus isolate TO-DF3E-2010, complete genome
NC_023856.1 Salmonella phage vB_SalM_SJ2, complete genome
NC_023858.1 Turkey megrivirus strain turkey/B407-THV/2011/HUN, complete genome
NC_023859.1 Microbacterium phage vB_MoxS-ISF9, complete genome
NC_023872.1 Dragonfly-associated circular virus 1 isolate FL1-2X-2010, complete genome
NC_023868.1 Dragonfly cyclovirus 3 isolate FL2-5E-2010, complete genome
NC_023885.1 Mink circovirus strain MiCV-DL13, complete genome
NC_023874.1 Human cyclovirus strain 7078A, complete genome
NC_023884.1 Cyanoramphus nest associated circular K DNA virus, complete genome
NC_023887.1 Turkey stool associated circular ssDNA virus strain TuSCV, complete genome
NC_023891.1 Human papillomavirus type 178, complete genome
NC_023896.1 Malvastrum leaf curl Guangdong betasatellite isolate G8, complete sequence
NC_023987.1 Mosavirus A2 strain SZAL6-MoV/2011/HUN, complete genome
NC_024016.1 Heliconius erato iflavirus, complete genome
NC_024070.1 Rosavirus 2 strain GA7403, complete genome
NC_024077.1 Soybean cyst nematode virus 5 strain ScV5 polyprotein gene, complete cds
NC_024115.1 Leishmania aethiopica RNA virus isolate LRV2-Lae-L494, complete genome
NC_024123.1 Pseudomonas phage KPP25 DNA, complete sequence
NC_024125.2 Escherichia phage e11/2, complete genome
NC_024140.1 Pseudomonas phage vB_PaeP_C2-10_Ab09, complete genome
NC_024143.1 Mycobacterium phage Lamina13, complete genome
NC_024137.1 Bacillus phage Bcp1, complete genome
NC_024136.1 Mycobacterium phage Seabiscuit, complete genome
NC_024210.1 Escherichia phage e4/1c, complete genome
NC_023587.1 Synechococcus phage S-MbCM7, complete genome
NC_023591.1 Mycobacterium phage Adler, complete genome
NC_023632.1 Bovine astrovirus B170/HK, complete genome
NC_023641.1 Lagenaria siceraria endornavirus-California isolate FB, complete genome
NC_023677.1 Chimpanzee alpha-1 herpesvirus strain 105640, complete genome
NC_023684.1 Rhizoctonia solani dsRNA virus 2 segment 1, complete sequence
NC_023685.1 Rhizoctonia solani dsRNA virus 2 segment 2, complete sequence
NC_023736.1 Ralstonia phage RSB2 DNA, complete genome
NC_023695.1 Mycobacterium phage Violet, complete genome
NC_023747.1 Mycobacterium phage BarrelRoll, complete genome
NC_023705.1 Mycobacterium phage Liefie, complete genome
NC_023721.1 Mycobacterium phage Drago, complete genome
NC_023709.1 Mycobacterium phage Wile, complete genome
NC_023724.1 Mycobacterium phage Larva, complete genome
NC_023726.1 Mycobacterium phage Euphoria, complete genome
NC_023741.1 Mycobacterium phage Stinger, complete genome
NC_023722.1 Rhodococcus phage ReqiPine5, complete genome
NC_023735.1 Rhodococcus phage ReqiPepy6, complete genome
NC_023712.1 Mycobacterium phage Firecracker, complete genome
NC_023702.1 Mycobacterium phage Kugel, complete genome
NC_023728.1 Mycobacterium phage DeadP, complete genome
NC_023690.1 Mycobacterium phage Courthouse, complete genome
NC_023733.1 Mycobacterium phage MoMoMixon, complete genome
NC_023762.1 Boa arenavirus NL isolate 3 segment L, complete sequence
NC_023761.1 Boa arenavirus NL isolate 3 segment S, complete sequence
NC_023765.1 University of Helsinki virus strain UHV-1 segment L, complete sequence
NC_023766.1 University of Helsinki virus strain UHV-1 segment S, complete sequence
NC_023842.1 Danaus plexippus plexippus iteravirus isolate Granby, complete genome
NC_023849.1 Pouzolzia golden mosaic virus isolate TY01 segment DNA-A, complete sequence
NC_023854.1 Dragonfly orbiculatusvirus isolate TO-DF13-2010, complete genome
NC_023857.1 Chicken megrivirus strain chicken/CHK-IV-CHV/2013/HUN, complete genome
NC_023848.1 Anopheles minimus irodovirus isolate AMIV, complete genome
NC_023863.2 Vibrio phage CHOED, complete genome
NC_023870.1 Dragonfly-associated circular virus 3 isolate TO-DFS3B2-2010, complete genome
NC_023869.1 Dragonfly cyclovirus 2 isolate FL1-NZ38-2010, complete genome
NC_023877.1 Porcine stool-associated circular virus 4 isolate CP2, complete genome
NC_023881.1 Faba bean necrotic stunt alphasatellite 1 isolate Peshtatuek_12b, complete sequence
NC_023883.1 Cyanoramphus nest associated circular X DNA virus, complete genome
NC_023873.1 Enhydra lutris papillomavirus 1 isolate 6898-13, complete genome
NC_023892.1 Gaillardia latent virus isolate 5/18-05-2010, complete genome
NC_023989.1 Sugarcane white streak virus isolate SSNV-B [SD-B0069-2013], complete genome
NC_023985.1 Duck picornavirus GL/12, complete genome
NC_024012.1 Jatropha mosaic virus strain Jamaica:Spanish Town:2004 clone A1 segment DNA-A, complete sequence
NC_024013.1 Jatropha mosaic virus strain Jamaica:Spanish Town:2004 clone B1 segment DNA-B, complete sequence
NC_024031.1 Atlantic salmon calicivirus isolate Nordland/2011, complete genome
NC_023692.1 Mycobacterium phage BigNuz, complete genome
NC_023720.1 Mycobacterium phage Perseus, complete genome
NC_023707.1 Mycobacterium phage Turbido, complete genome
NC_023689.1 Mycobacterium phage Lilac, complete genome
NC_023711.1 Mycobacterium phage Oline, complete genome
NC_023704.1 Mycobacterium phage Doom, complete genome
NC_023738.1 Mycobacterium phage Thibault, complete genome
NC_023723.1 Mycobacterium phage Aeneas, complete genome
NC_023740.1 Mycobacterium phage JacAttac, complete genome
NC_023713.1 Mycobacterium phage Blue7, complete genome
NC_023727.1 Mycobacterium phage Vista, complete genome
NC_023687.1 Mycobacterium phage Bruns, complete genome
NC_023715.1 Yersinia phage Yep-phi, complete genome
NC_023760.1 Mink coronavirus strain WD1127, complete genome
NC_023813.1 Bush viper reovirus segment L1, complete sequence
NC_023814.1 Bush viper reovirus segment L2, complete sequence
NC_023819.1 Bush viper reovirus segment L3, complete sequence
NC_023816.1 Bush viper reovirus segment M1, complete sequence
NC_023815.1 Bush viper reovirus segment M2, complete sequence
NC_023820.1 Bush viper reovirus segment M3, complete sequence
NC_023822.1 Bush viper reovirus segment S1, complete sequence
NC_023821.1 Bush viper reovirus segment S2, complete sequence
NC_023817.1 Bush viper reovirus segment S3, complete sequence
NC_023818.1 Bush viper reovirus segment S4, complete sequence
NC_023844.1 Cassava associated cicular DNA virus isolate G14, complete genome
NC_023851.1 Niminivirus isolate NimiV, complete genome
NC_023855.1 Dragonfly cyclicusvirus isolate FL1-NZ37-2010, complete genome
NC_023861.1 Sicinivirus 1 strain UCC001, complete genome
NC_023862.1 Mycobacterium phage Alsfro, complete genome
NC_023871.1 Dragonfly-associated circular virus 2 isolate FL2-5X-2010, complete genome
NC_023867.1 Dragonfly cyclovirus 4 isolate BG-NZ46-2007, complete genome
NC_023878.1 Porcine stool-associated circular virus 5 isolate CP3, complete genome
NC_023880.1 Faba bean necrotic stunt alphasatellite 2 isolate Peshtatuek_12b, complete sequence
NC_023879.1 Fur seal faeces associated circular DNA virus isolate as50, complete genome
NC_023888.1 Circo-like virus-Brazil hs1, complete genome
NC_023895.1 Rupicapra rupicapra papillomavirus 1, complete genome
NC_023983.1 Persimmon latent virus genomic RNA, complete genome, clone: Kaki13-14
NC_023986.1 Casuarina virus isolate 0071, complete genome
NC_024009.1 Allamanda leaf mottle distortion virus isolate Al-K1 segment DNA-A, complete sequence
NC_024018.2 Pronghorn antelope pestivirus, complete genome
NC_024073.1 Enterovirus sp. isolate CPML_8109/08, complete genome
NC_024113.1 Jingmen Tick Virus isolate SY84 segment 1, complete sequence
NC_024112.1 Jingmen Tick Virus isolate SY84 segment 2, complete sequence
NC_024114.1 Jingmen Tick Virus isolate SY84 segment 3, complete sequence
NC_024111.1 Jingmen Tick Virus isolate SY84 segment 4, complete sequence
NC_024119.1 PoSCV Kor J481, complete genome
NC_024124.2 Escherichia phage vB_EcoM_JS09, complete genome
NC_024134.1 Escherichia phage vB_EcoM_FFH2, complete genome
NC_024149.1 Lactoccocus phage WP-2, complete genome
NC_024138.1 Mycobacterium phage MosMoris, complete genome
NC_024135.1 Mycobacterium phage Bernal13, complete genome
NC_024150.1 California sea lion adenovirus 1 strain Zc11-030, complete genome
NC_024204.1 Salmonella phage vB_SenS-Ent3 complete genome
NC_024211.1 Bacillus phage Megatron, complete genome
NC_023691.1 Mycobacterium phage Patience, complete genome
NC_023714.1 Mycobacterium phage LinStu, complete genome
NC_023710.1 Mycobacterium phage RidgeCB, complete genome
NC_023746.1 Mycobacterium phage GUmbie, complete genome
NC_023729.1 Mycobacterium phage Charlie, complete genome
NC_023706.1 Rhodococcus phage ReqiDocB7, complete genome
NC_023688.1 Aeromonas phage PX29, complete genome
NC_023694.1 Rhodococcus phage ReqiPoco6, complete genome
NC_023717.1 Cronobacter phage CR9, complete genome
NC_023703.1 Mycobacterium phage Dori, complete genome
NC_023697.1 Mycobacterium phage Babsiella, complete genome
NC_023742.1 Mycobacterium phage Akoma, complete genome
NC_023701.1 Mycobacterium phage Acadian, complete genome
NC_023763.1 Merino Walk virus Z protein and L genes, complete cds
NC_023764.1 Merino Walk virus GP (GP) and NP (NP) genes, complete cds
NC_023841.1 Dunaliella viridis virus SI2 genomic sequence
NC_023845.1 Raccoon polyomavirus strain R45, complete genome
NC_023852.1 Canine papillomavirus 13 isolate Zurich/2011, complete genome
NC_023864.1 Axonopus compressus streak virus isolate ACSV_NG_g84_oba_2007, complete genome
NC_023860.1 Porcine parvovirus 6 isolate TJ, complete genome
NC_023865.1 Pectobacterium phage PM1, complete genome
NC_023866.1 Dragonfly cyclovirus 5 isolate PR-6E-2010, complete genome
NC_023876.2 Andrographis yellow vein leaf curl betasatellite clone bt-2, complete sequence
NC_023882.1 Equus asinus papillomavirus AA-2014 isolate Asinara, complete genome
NC_023875.1 Black medic leafroll alphasatellite 1 isolate Lerik-Xalifa_47, complete sequence
NC_023886.1 Dragonfly cyclovirus isolate DfCyV-A1_To-6NZ21-Tt-2010 replication associated protein and capsid protein genes, complete cds
NC_023894.1 Pygoscelis adeliae papillomavirus isolate Crozier_2013, complete genome
NC_023893.1 Sclerotinia sclerotiorum endornavirus 2 isolate 11691, complete genome
NC_023988.1 Tortoise Rafivirus A isolate UF4, complete genome
NC_023984.1 Human cosavirus isolate Cosavirus_Amsterdam_1994, complete genome
NC_024017.1 Nhumirim virus strain BrMS-MQ10, complete genome
NC_024071.1 Tanay virus isolate 11-2, complete genome
NC_024078.1 Goose calicivirus strain N, complete genome
NC_024117.1 Sweet potato leaf curl Henan virus isolate China:Henan10(2):2012, complete genome
NC_024120.1 Duck megrivirus strain LY, complete genome
NC_024121.1 Serratia phage PS2, complete genome
NC_024139.1 Escherichia phage vB_EcoS_FFH1, complete genome
NC_024146.1 Enterobacteria phage 9g, complete genome
